date,nav,scheme_code,scheme_name
2016-03-02,25.1454,102196,DWS Equity Income Fund - Growth Option
2016-03-01,25.0337,102196,DWS Equity Income Fund - Growth Option
2016-02-29,24.8668,102196,DWS Equity Income Fund - Growth Option
2016-02-26,24.8919,102196,DWS Equity Income Fund - Growth Option
2016-02-25,24.8663,102196,DWS Equity Income Fund - Growth Option
2016-02-24,24.8998,102196,DWS Equity Income Fund - Growth Option
2016-02-23,24.9737,102196,DWS Equity Income Fund - Growth Option
2016-02-22,25.0141,102196,DWS Equity Income Fund - Growth Option
2016-02-19,25.0033,102196,DWS Equity Income Fund - Growth Option
2016-02-18,25.042,102196,DWS Equity Income Fund - Growth Option
2016-02-17,24.9598,102196,DWS Equity Income Fund - Growth Option
2016-02-16,24.9612,102196,DWS Equity Income Fund - Growth Option
2016-02-15,24.9883,102196,DWS Equity Income Fund - Growth Option
2016-02-12,24.8988,102196,DWS Equity Income Fund - Growth Option
2016-02-11,24.8769,102196,DWS Equity Income Fund - Growth Option
2016-02-10,24.9727,102196,DWS Equity Income Fund - Growth Option
2016-02-09,25.0065,102196,DWS Equity Income Fund - Growth Option
2016-02-08,25.0898,102196,DWS Equity Income Fund - Growth Option
2016-02-05,25.1186,102196,DWS Equity Income Fund - Growth Option
2016-02-04,25.1316,102196,DWS Equity Income Fund - Growth Option
2016-02-03,25.1212,102196,DWS Equity Income Fund - Growth Option
2016-02-02,25.1478,102196,DWS Equity Income Fund - Growth Option
2016-02-01,25.1943,102196,DWS Equity Income Fund - Growth Option
2016-01-29,25.1647,102196,DWS Equity Income Fund - Growth Option
2016-01-28,25.0675,102196,DWS Equity Income Fund - Growth Option
2016-01-27,25.0826,102196,DWS Equity Income Fund - Growth Option
2016-01-25,25.0632,102196,DWS Equity Income Fund - Growth Option
2016-01-22,25.0273,102196,DWS Equity Income Fund - Growth Option
2016-01-21,24.9242,102196,DWS Equity Income Fund - Growth Option
2016-01-20,24.9918,102196,DWS Equity Income Fund - Growth Option
2016-01-19,25.0759,102196,DWS Equity Income Fund - Growth Option
2016-01-18,25.0379,102196,DWS Equity Income Fund - Growth Option
2016-01-15,25.1017,102196,DWS Equity Income Fund - Growth Option
2016-01-14,25.1495,102196,DWS Equity Income Fund - Growth Option
2016-01-13,25.177,102196,DWS Equity Income Fund - Growth Option
2016-01-12,25.1488,102196,DWS Equity Income Fund - Growth Option
2016-01-11,25.1848,102196,DWS Equity Income Fund - Growth Option
2016-01-08,25.2254,102196,DWS Equity Income Fund - Growth Option
2016-01-07,25.2059,102196,DWS Equity Income Fund - Growth Option
2016-01-06,25.3208,102196,DWS Equity Income Fund - Growth Option
2016-01-05,25.3016,102196,DWS Equity Income Fund - Growth Option
2016-01-04,25.3056,102196,DWS Equity Income Fund - Growth Option
2016-01-01,25.3685,102196,DWS Equity Income Fund - Growth Option
2015-12-31,25.3838,102196,DWS Equity Income Fund - Growth Option
2015-12-30,25.3191,102196,DWS Equity Income Fund - Growth Option
2015-12-29,25.3192,102196,DWS Equity Income Fund - Growth Option
2015-12-28,25.3378,102196,DWS Equity Income Fund - Growth Option
2015-12-24,25.2738,102196,DWS Equity Income Fund - Growth Option
2015-12-23,25.2851,102196,DWS Equity Income Fund - Growth Option
2015-12-22,25.2355,102196,DWS Equity Income Fund - Growth Option
2015-12-21,25.2373,102196,DWS Equity Income Fund - Growth Option
2015-12-18,25.1962,102196,DWS Equity Income Fund - Growth Option
2015-12-17,25.2693,102196,DWS Equity Income Fund - Growth Option
2015-12-16,25.2206,102196,DWS Equity Income Fund - Growth Option
2015-12-15,25.2057,102196,DWS Equity Income Fund - Growth Option
2015-12-14,25.1384,102196,DWS Equity Income Fund - Growth Option
2015-12-11,25.0927,102196,DWS Equity Income Fund - Growth Option
2015-12-10,25.1053,102196,DWS Equity Income Fund - Growth Option
2015-12-09,25.0678,102196,DWS Equity Income Fund - Growth Option
2015-12-08,25.1148,102196,DWS Equity Income Fund - Growth Option
2015-12-07,25.1228,102196,DWS Equity Income Fund - Growth Option
2015-12-04,25.1007,102196,DWS Equity Income Fund - Growth Option
2015-12-03,25.1509,102196,DWS Equity Income Fund - Growth Option
2015-12-02,25.152,102196,DWS Equity Income Fund - Growth Option
2015-12-01,25.1338,102196,DWS Equity Income Fund - Growth Option
2015-11-30,25.101,102196,DWS Equity Income Fund - Growth Option
2015-11-27,25.1417,102196,DWS Equity Income Fund - Growth Option
2015-11-26,25.1186,102196,DWS Equity Income Fund - Growth Option
2015-11-24,25.1033,102196,DWS Equity Income Fund - Growth Option
2015-11-23,25.1297,102196,DWS Equity Income Fund - Growth Option
2015-11-20,25.127,102196,DWS Equity Income Fund - Growth Option
2015-11-19,25.0769,102196,DWS Equity Income Fund - Growth Option
2015-11-18,25.009,102196,DWS Equity Income Fund - Growth Option
2015-11-17,25.052,102196,DWS Equity Income Fund - Growth Option
2015-11-16,25.0216,102196,DWS Equity Income Fund - Growth Option
2015-11-13,25.0717,102196,DWS Equity Income Fund - Growth Option
2015-11-10,25.113,102196,DWS Equity Income Fund - Growth Option
2015-11-09,25.1314,102196,DWS Equity Income Fund - Growth Option
2015-11-06,25.0891,102196,DWS Equity Income Fund - Growth Option
2015-11-05,25.0478,102196,DWS Equity Income Fund - Growth Option
2015-11-04,25.1214,102196,DWS Equity Income Fund - Growth Option
2015-11-03,25.1446,102196,DWS Equity Income Fund - Growth Option
2015-11-02,25.1143,102196,DWS Equity Income Fund - Growth Option
2015-10-30,25.1032,102196,DWS Equity Income Fund - Growth Option
2015-10-29,25.0707,102196,DWS Equity Income Fund - Growth Option
2015-10-28,25.1061,102196,DWS Equity Income Fund - Growth Option
2015-10-27,25.0804,102196,DWS Equity Income Fund - Growth Option
2015-10-26,25.0406,102196,DWS Equity Income Fund - Growth Option
2015-10-23,25.0341,102196,DWS Equity Income Fund - Growth Option
2015-10-21,25.0517,102196,DWS Equity Income Fund - Growth Option
2015-10-20,25.0718,102196,DWS Equity Income Fund - Growth Option
2015-10-19,25.0401,102196,DWS Equity Income Fund - Growth Option
2015-10-16,24.9468,102196,DWS Equity Income Fund - Growth Option
2015-10-15,24.9294,102196,DWS Equity Income Fund - Growth Option
2015-10-14,24.9325,102196,DWS Equity Income Fund - Growth Option
2015-10-13,24.9725,102196,DWS Equity Income Fund - Growth Option
2015-10-12,24.9975,102196,DWS Equity Income Fund - Growth Option
2015-10-09,25.0637,102196,DWS Equity Income Fund - Growth Option
2015-10-08,25.0775,102196,DWS Equity Income Fund - Growth Option
2015-10-07,25.1305,102196,DWS Equity Income Fund - Growth Option
2015-10-06,25.1719,102196,DWS Equity Income Fund - Growth Option
2015-10-05,25.1611,102196,DWS Equity Income Fund - Growth Option
2015-10-01,25.0236,102196,DWS Equity Income Fund - Growth Option
2015-09-30,24.9753,102196,DWS Equity Income Fund - Growth Option
2015-09-29,24.9105,102196,DWS Equity Income Fund - Growth Option
2015-09-28,24.863,102196,DWS Equity Income Fund - Growth Option
2015-09-24,24.8482,102196,DWS Equity Income Fund - Growth Option
2015-09-23,24.8214,102196,DWS Equity Income Fund - Growth Option
2015-09-22,24.8416,102196,DWS Equity Income Fund - Growth Option
2015-09-21,24.9037,102196,DWS Equity Income Fund - Growth Option
2015-09-18,24.8898,102196,DWS Equity Income Fund - Growth Option
2015-09-16,24.8407,102196,DWS Equity Income Fund - Growth Option
2015-09-15,24.8379,102196,DWS Equity Income Fund - Growth Option
2015-09-14,24.8145,102196,DWS Equity Income Fund - Growth Option
2015-09-11,24.7627,102196,DWS Equity Income Fund - Growth Option
2015-09-10,24.7045,102196,DWS Equity Income Fund - Growth Option
2015-09-09,24.7404,102196,DWS Equity Income Fund - Growth Option
2015-09-08,24.6498,102196,DWS Equity Income Fund - Growth Option
2015-09-07,24.6685,102196,DWS Equity Income Fund - Growth Option
2015-09-04,24.7395,102196,DWS Equity Income Fund - Growth Option
2015-09-03,24.8266,102196,DWS Equity Income Fund - Growth Option
2015-09-02,24.7557,102196,DWS Equity Income Fund - Growth Option
2015-09-01,24.7421,102196,DWS Equity Income Fund - Growth Option
2015-08-31,24.8173,102196,DWS Equity Income Fund - Growth Option
2015-08-28,24.834,102196,DWS Equity Income Fund - Growth Option
2015-08-27,24.8105,102196,DWS Equity Income Fund - Growth Option
2015-08-26,24.7156,102196,DWS Equity Income Fund - Growth Option
2015-08-25,24.7301,102196,DWS Equity Income Fund - Growth Option
2015-08-24,24.7705,102196,DWS Equity Income Fund - Growth Option
2015-08-21,25.0024,102196,DWS Equity Income Fund - Growth Option
2015-08-20,25.0356,102196,DWS Equity Income Fund - Growth Option
