date,nav,scheme_code,scheme_name
2014-02-28,83.89,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-26,83.36,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-25,82.82,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-24,82.63,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-21,82.81,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-20,82.2,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-19,82.78,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-18,82.49,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-17,82.42,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-14,82.25,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-13,82.12,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-12,83.04,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-11,82.96,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-10,83.19,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-07,83.17,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-06,82.5,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-05,82.29,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-04,81.94,100151,Principal Retail Equity Savings Fund - Growth Option
2014-02-03,82.06,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-31,82.44,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-30,81.7,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-29,82.3,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-28,82.07,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-27,82.29,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-24,83.37,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-23,84.07,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-22,84.28,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-21,84.16,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-20,84.43,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-17,84.11,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-16,84.65,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-15,84.92,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-14,84.6,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-13,84.61,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-10,84.42,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-09,84.93,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-08,85.1,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-07,84.56,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-06,84.87,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-03,84.84,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-02,84.7,100151,Principal Retail Equity Savings Fund - Growth Option
2014-01-01,85.55,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-31,85.54,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-30,85.21,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-27,85.46,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-26,85.08,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-24,84.92,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-23,84.66,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-20,84.11,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-19,83.15,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-18,83.61,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-17,82.54,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-16,82.63,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-13,82.48,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-12,83.3,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-11,83.75,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-10,83.94,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-09,84.25,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-06,83.75,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-05,83.48,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-04,83.41,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-03,83.9,100151,Principal Retail Equity Savings Fund - Growth Option
2013-12-02,84.04,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-29,83.77,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-28,83.1,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-27,82.7,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-26,82.64,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-25,83.13,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-22,82.45,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-21,82.19,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-20,83.09,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-19,83.47,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-18,83.59,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-14,82.96,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-13,82.83,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-12,83.2,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-11,83.38,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-08,83.78,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-07,84.18,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-06,84.47,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-05,84.45,100151,Principal Retail Equity Savings Fund - Growth Option
2013-11-01,84.57,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-31,84.18,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-30,83.92,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-29,83.78,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-28,82.62,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-25,83.15,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-24,83.51,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-23,83.74,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-22,83.9,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-21,83.73,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-18,83.43,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-17,82.4,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-15,82.43,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-14,82.92,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-11,82.88,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-10,82.95,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-09,82.74,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-08,82.19,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-07,82.17,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-04,82.02,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-03,81.81,100151,Principal Retail Equity Savings Fund - Growth Option
2013-10-01,80.63,100151,Principal Retail Equity Savings Fund - Growth Option
