scheme_code,scheme_name,latest_nav,latest_date,oldest_date,data_points,volatility,max_drawdown,sharpe_ratio,return_1m,return_3m,return_6m,return_1y,return_2y
120364,ICICI Prudential Equity Arbitrage Fund - Direct Plan - Growth,38.5725,2026-04-06,2013-01-08,3257,1.0241095043515127,-59.31335454912977,-12.416204829316213,0.6308259436952568,2.3395691775424665,4.607077673246781,10.577419243868022,24.184258564681404
120365,ICICI Prudential Equity Arbitrage Fund - Direct Plan - IDCW,17.6802,2026-04-06,2013-01-08,3257,2.3958324479925803,-26.21741269060502,-3.4623007624222812,0.34621322193970183,1.1806179502000058,2.2396474853841735,5.265602114814414,11.874509605406363
108995,BANDHAN Equity Savings Fund - Regular Plan - Growth,31.421,2026-04-06,2008-06-10,4390,4.056207150307944,-68.80366949575637,-3.0275804985633608,-1.6987861344011992,-1.2539283469516056,0.6244796003330567,5.020221264079678,21.716056556265727
118477,BANDHAN Equity Savings Fund-Direct Plan-Growth,35.11,2026-04-06,2014-01-01,3022,4.707212354914331,-59.03412587412588,-2.7472002008137757,-1.5865007287812605,-0.9311512415349839,1.2954040564322957,6.439095373794951,25.15595479984315
140350,Edelweiss Equity Savings Fund - Direct Plan - Bonus Option,28.4446,2026-04-06,2016-11-28,2306,4.809116266147519,-61.24730460300103,-3.2049178472821263,-2.175587745725173,-0.9664997806574692,1.8282445344187523,8.171235820032786,38.76497677867541
140347,Edelweiss Equity Savings Fund - Direct Plan - Growth Option,28.4329,2026-04-06,2016-11-28,2306,4.809278423317407,-61.2222500402981,-3.2034731718126936,-2.174780664028905,-0.9599944267377283,1.8319281984427775,8.166231078546616,38.76544053411682
140351,Edelweiss Equity Savings Fund - Regular Plan - Growth Option,25.5785,2026-04-06,2016-11-28,2306,4.810891163583288,-57.30218142079831,-3.0002087819883063,-2.2919571404014802,-1.3099004552820475,1.097194170958344,6.586853794931187,34.669046415634725
140352,Edelweiss Equity Savings Fund - Regular Plan - Bonus Option,23.6102,2024-11-18,2016-11-28,1967,4.928545828654559,-53.49470838033309,-3.022434002638112,-1.3598933810166474,1.4406076932661371,7.553753644314856,21.1058962324639,29.18832554525656
101585,HDFC Equity Savings Fund - GROWTH PLAN,65.413,2026-04-06,2006-04-03,4890,5.2667824518471384,-83.01921893768494,-2.7353116238541784,-3.6528066221849143,-3.0329533494418928,-0.9059096211237506,1.8767131821579839,28.895150643362417
140348,Edelweiss Equity Savings Fund - Direct Plan - IDCW Option,20.6685,2026-04-06,2016-11-28,2306,5.34473236552057,-50.6022561605639,-2.3893441315554,-2.174376061984384,-0.9598060262209546,1.8328283201537205,8.166736445467873,38.766919110538204
