date,nav,scheme_code,scheme_name
2008-11-07,20.19,102639,ABN AMRO  Equity Fund-Growth Plan
2008-11-06,19.81,102639,ABN AMRO  Equity Fund-Growth Plan
2008-11-05,20.24,102639,ABN AMRO  Equity Fund-Growth Plan
2008-11-04,20.98,102639,ABN AMRO  Equity Fund-Growth Plan
2008-11-03,20.39,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-31,19.6,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-29,18.78,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-27,18.02,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-24,18.44,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-23,20.27,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-22,20.92,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-21,21.67,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-20,21.1,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-17,20.98,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-16,21.87,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-15,21.99,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-14,22.89,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-13,22.76,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-10,21.65,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-08,22.89,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-07,23.53,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-06,23.56,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-03,24.6,102639,ABN AMRO  Equity Fund-Growth Plan
2008-10-01,25.3,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-30,25.04,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-29,24.66,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-26,25.51,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-25,26.19,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-24,26.41,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-23,26.22,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-22,26.74,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-19,26.83,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-18,25.67,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-17,25.4,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-16,25.86,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-15,25.82,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-12,26.66,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-11,27.11,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-10,27.67,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-09,27.99,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-08,28.06,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-05,27.44,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-04,27.87,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-02,28.18,102639,ABN AMRO  Equity Fund-Growth Plan
2008-09-01,27.35,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-29,27.49,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-28,26.71,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-27,27.06,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-26,27.34,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-25,27.35,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-22,27.29,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-21,27.13,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-20,27.82,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-19,27.6,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-18,27.77,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-14,27.97,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-13,28.51,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-12,28.69,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-11,29.06,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-08,28.43,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-07,28.35,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-06,28.35,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-05,28.17,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-04,27.51,102639,ABN AMRO  Equity Fund-Growth Plan
2008-08-01,27.5,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-31,27.15,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-30,27.05,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-29,26.31,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-28,27.14,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-25,26.92,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-24,27.49,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-23,27.67,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-22,26.45,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-21,26.08,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-18,25.8,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-17,25.09,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-16,24.38,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-15,24.59,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-14,25.42,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-11,25.52,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-10,26.18,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-09,26.19,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-08,25.38,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-07,25.58,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-04,25.42,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-03,24.97,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-02,25.77,102639,ABN AMRO  Equity Fund-Growth Plan
2008-07-01,24.97,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-30,25.93,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-27,26.51,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-26,27.53,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-25,27.2,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-24,26.96,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-23,27.46,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-20,28.01,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-19,28.92,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-18,29.33,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-17,29.66,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-16,29.15,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-13,28.83,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-12,28.92,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-11,28.69,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-10,28.28,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-09,28.76,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-06,29.56,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-05,29.78,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-04,29.45,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-03,30.19,102639,ABN AMRO  Equity Fund-Growth Plan
2008-06-02,30.35,102639,ABN AMRO  Equity Fund-Growth Plan
2008-05-30,31.09,102639,ABN AMRO  Equity Fund-Growth Plan
2008-05-29,30.85,102639,ABN AMRO  Equity Fund-Growth Plan
2008-05-28,31.3,102639,ABN AMRO  Equity Fund-Growth Plan
2008-05-27,30.92,102639,ABN AMRO  Equity Fund-Growth Plan
2008-05-26,31.06,102639,ABN AMRO  Equity Fund-Growth Plan
2008-05-23,31.72,102639,ABN AMRO  Equity Fund-Growth Plan
2008-05-22,32.13,102639,ABN AMRO  Equity Fund-Growth Plan
2008-05-21,32.62,102639,ABN AMRO  Equity Fund-Growth Plan
2008-05-20,32.44,102639,ABN AMRO  Equity Fund-Growth Plan
2008-05-16,32.57,102639,ABN AMRO  Equity Fund-Growth Plan
2008-05-15,32.17,102639,ABN AMRO  Equity Fund-Growth Plan
2008-05-14,31.64,102639,ABN AMRO  Equity Fund-Growth Plan
2008-05-13,31.56,102639,ABN AMRO  Equity Fund-Growth Plan
