date,nav,scheme_code,scheme_name
2022-11-25,30.1357,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-24,29.9761,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-23,29.8062,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-22,29.6498,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-21,29.7733,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-18,29.8249,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-17,30.029,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-16,30.1427,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-15,30.1778,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-14,30.0964,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-11,30.1716,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-10,30.0213,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-09,30.365,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-07,30.4839,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-04,30.3402,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-03,30.2786,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-02,30.2403,103007,HSBC Small Cap Equity Fund - IDCW
2022-11-01,30.1658,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-31,30.0309,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-28,29.7085,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-27,29.9956,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-25,29.856,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-21,29.5273,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-20,29.689,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-19,29.7671,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-18,29.6979,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-17,29.477,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-14,29.54,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-13,29.4347,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-12,29.5233,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-11,29.442,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-10,29.8478,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-07,30.0389,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-06,30.0885,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-04,29.8297,103007,HSBC Small Cap Equity Fund - IDCW
2022-10-03,29.5291,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-30,29.5,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-29,29.1464,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-28,28.9442,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-27,29.0851,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-26,28.9555,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-23,29.7195,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-22,30.2587,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-21,30.1447,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-20,30.4837,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-19,30.0726,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-16,30.305,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-15,31.0365,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-14,31.0714,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-13,30.9496,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-12,30.9325,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-09,30.447,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-08,30.3027,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-07,30.0695,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-06,29.8019,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-05,29.7239,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-02,29.4973,103007,HSBC Small Cap Equity Fund - IDCW
2022-09-01,29.4246,103007,HSBC Small Cap Equity Fund - IDCW
2022-08-30,29.2549,103007,HSBC Small Cap Equity Fund - IDCW
2022-08-29,28.9259,103007,HSBC Small Cap Equity Fund - IDCW
2022-08-26,29.1716,103007,HSBC Small Cap Equity Fund - IDCW
2022-08-25,29.1747,103007,HSBC Small Cap Equity Fund - IDCW
2022-08-24,29.162,103007,HSBC Small Cap Equity Fund - IDCW
2022-08-23,28.9419,103007,HSBC Small Cap Equity Fund - IDCW
2022-08-22,28.7132,103007,HSBC Small Cap Equity Fund - IDCW
2022-08-19,29.0792,103007,HSBC Small Cap Equity Fund - IDCW
