date,nav,scheme_code,scheme_name
2016-03-02,115.76,101629,DWS Alpha Equity Fund - Growth
2016-03-01,113.62,101629,DWS Alpha Equity Fund - Growth
2016-02-29,110.07,101629,DWS Alpha Equity Fund - Growth
2016-02-26,110.46,101629,DWS Alpha Equity Fund - Growth
2016-02-25,109.66,101629,DWS Alpha Equity Fund - Growth
2016-02-24,110.29,101629,DWS Alpha Equity Fund - Growth
2016-02-23,111.68,101629,DWS Alpha Equity Fund - Growth
2016-02-22,113.27,101629,DWS Alpha Equity Fund - Growth
2016-02-19,112.83,101629,DWS Alpha Equity Fund - Growth
2016-02-18,112.71,101629,DWS Alpha Equity Fund - Growth
2016-02-17,111.34,101629,DWS Alpha Equity Fund - Growth
2016-02-16,110.44,101629,DWS Alpha Equity Fund - Growth
2016-02-15,112.19,101629,DWS Alpha Equity Fund - Growth
2016-02-12,109.42,101629,DWS Alpha Equity Fund - Growth
2016-02-11,109.57,101629,DWS Alpha Equity Fund - Growth
2016-02-10,113.33,101629,DWS Alpha Equity Fund - Growth
2016-02-09,114.49,101629,DWS Alpha Equity Fund - Growth
2016-02-08,115.98,101629,DWS Alpha Equity Fund - Growth
2016-02-05,117.47,101629,DWS Alpha Equity Fund - Growth
2016-02-04,116.29,101629,DWS Alpha Equity Fund - Growth
2016-02-03,115.64,101629,DWS Alpha Equity Fund - Growth
2016-02-02,116.77,101629,DWS Alpha Equity Fund - Growth
2016-02-01,118.22,101629,DWS Alpha Equity Fund - Growth
2016-01-29,118.2,101629,DWS Alpha Equity Fund - Growth
2016-01-28,116.19,101629,DWS Alpha Equity Fund - Growth
2016-01-27,116.44,101629,DWS Alpha Equity Fund - Growth
2016-01-25,116.49,101629,DWS Alpha Equity Fund - Growth
2016-01-22,116.13,101629,DWS Alpha Equity Fund - Growth
2016-01-21,113.84,101629,DWS Alpha Equity Fund - Growth
2016-01-20,114.1,101629,DWS Alpha Equity Fund - Growth
2016-01-19,116.0,101629,DWS Alpha Equity Fund - Growth
2016-01-18,114.7,101629,DWS Alpha Equity Fund - Growth
2016-01-15,115.99,101629,DWS Alpha Equity Fund - Growth
2016-01-14,117.39,101629,DWS Alpha Equity Fund - Growth
2016-01-13,117.81,101629,DWS Alpha Equity Fund - Growth
2016-01-12,116.94,101629,DWS Alpha Equity Fund - Growth
2016-01-11,117.75,101629,DWS Alpha Equity Fund - Growth
2016-01-08,118.37,101629,DWS Alpha Equity Fund - Growth
2016-01-07,117.78,101629,DWS Alpha Equity Fund - Growth
2016-01-06,120.35,101629,DWS Alpha Equity Fund - Growth
2016-01-05,120.77,101629,DWS Alpha Equity Fund - Growth
2016-01-04,120.96,101629,DWS Alpha Equity Fund - Growth
2016-01-01,123.48,101629,DWS Alpha Equity Fund - Growth
2015-12-31,123.06,101629,DWS Alpha Equity Fund - Growth
2015-12-30,122.28,101629,DWS Alpha Equity Fund - Growth
2015-12-29,122.8,101629,DWS Alpha Equity Fund - Growth
2015-12-28,122.67,101629,DWS Alpha Equity Fund - Growth
2015-12-24,121.65,101629,DWS Alpha Equity Fund - Growth
2015-12-23,121.79,101629,DWS Alpha Equity Fund - Growth
2015-12-22,120.72,101629,DWS Alpha Equity Fund - Growth
2015-12-21,121.47,101629,DWS Alpha Equity Fund - Growth
2015-12-18,120.51,101629,DWS Alpha Equity Fund - Growth
2015-12-17,121.74,101629,DWS Alpha Equity Fund - Growth
2015-12-16,120.27,101629,DWS Alpha Equity Fund - Growth
2015-12-15,119.7,101629,DWS Alpha Equity Fund - Growth
2015-12-14,118.75,101629,DWS Alpha Equity Fund - Growth
2015-12-11,118.15,101629,DWS Alpha Equity Fund - Growth
2015-12-10,119.24,101629,DWS Alpha Equity Fund - Growth
2015-12-09,118.17,101629,DWS Alpha Equity Fund - Growth
2015-12-08,119.58,101629,DWS Alpha Equity Fund - Growth
2015-12-07,120.43,101629,DWS Alpha Equity Fund - Growth
2015-12-04,120.43,101629,DWS Alpha Equity Fund - Growth
2015-12-03,121.6,101629,DWS Alpha Equity Fund - Growth
2015-12-02,122.41,101629,DWS Alpha Equity Fund - Growth
2015-12-01,122.8,101629,DWS Alpha Equity Fund - Growth
2015-11-30,122.43,101629,DWS Alpha Equity Fund - Growth
2015-11-27,122.61,101629,DWS Alpha Equity Fund - Growth
2015-11-26,121.72,101629,DWS Alpha Equity Fund - Growth
2015-11-24,121.16,101629,DWS Alpha Equity Fund - Growth
2015-11-23,121.5,101629,DWS Alpha Equity Fund - Growth
2015-11-20,121.62,101629,DWS Alpha Equity Fund - Growth
2015-11-19,121.36,101629,DWS Alpha Equity Fund - Growth
2015-11-18,119.69,101629,DWS Alpha Equity Fund - Growth
2015-11-17,121.26,101629,DWS Alpha Equity Fund - Growth
2015-11-16,120.93,101629,DWS Alpha Equity Fund - Growth
2015-11-13,120.72,101629,DWS Alpha Equity Fund - Growth
2015-11-10,121.02,101629,DWS Alpha Equity Fund - Growth
2015-11-09,122.88,101629,DWS Alpha Equity Fund - Growth
2015-11-06,123.59,101629,DWS Alpha Equity Fund - Growth
