date,nav,scheme_code,scheme_name
2010-10-29,14.0,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-28,13.99,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-27,14.06,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-26,14.19,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-25,14.2,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-22,14.11,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-21,14.08,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-20,13.8,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-19,13.84,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-18,13.92,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-15,13.91,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-14,14.15,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-13,14.25,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-12,14.02,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-11,14.11,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-08,14.06,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-07,14.11,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-06,14.22,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-05,14.11,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-04,14.09,102427,Principal Resurgent India Equity Fund-Dividend
2010-10-01,14.04,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-30,13.78,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-29,13.75,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-28,13.86,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-27,13.89,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-24,13.88,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-23,13.74,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-22,13.73,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-21,13.79,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-20,13.83,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-17,13.7,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-16,13.58,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-15,13.68,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-14,13.61,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-13,13.57,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-09,13.39,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-08,13.34,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-07,13.3,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-06,13.22,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-03,13.0,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-02,12.97,102427,Principal Resurgent India Equity Fund-Dividend
2010-09-01,12.94,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-31,12.81,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-30,12.87,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-27,12.87,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-26,13.0,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-25,12.94,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-24,13.04,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-23,13.13,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-20,13.08,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-19,13.08,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-18,13.01,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-17,12.91,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-16,12.9,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-13,12.97,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-12,12.87,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-11,12.86,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-10,12.94,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-09,13.0,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-06,12.88,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-05,12.91,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-04,12.95,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-03,12.88,102427,Principal Resurgent India Equity Fund-Dividend
2010-08-02,12.87,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-30,12.74,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-29,12.77,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-28,12.77,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-27,12.79,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-26,12.76,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-23,12.85,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-22,12.88,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-21,12.82,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-20,12.77,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-19,12.8,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-16,12.78,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-15,12.69,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-14,12.75,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-13,12.76,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-12,12.69,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-09,12.65,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-08,12.56,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-07,12.44,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-06,12.51,102427,Principal Resurgent India Equity Fund-Dividend
2010-07-05,12.42,102427,Principal Resurgent India Equity Fund-Dividend
