date,nav,scheme_code,scheme_name
2008-05-29,20.8375,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-28,20.943,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-27,20.8927,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-26,21.0813,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-23,21.3965,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-22,21.5644,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-21,21.7732,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-20,21.6037,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-16,21.4278,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-15,21.3033,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-14,21.1057,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-13,21.1607,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-12,21.2012,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-09,21.2186,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-08,21.6057,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-07,21.5724,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-06,21.6985,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-05,21.7845,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-05-02,21.7705,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-04-30,21.602,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-04-29,21.7181,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-04-28,21.5197,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-04-25,21.4789,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-04-24,21.393,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-04-23,21.5631,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-04-22,21.5573,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-04-21,21.5435,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
2008-04-17,21.1009,103153,Standard Chartered Premier Equity Fund-Plan-Dividend
