date,nav,scheme_code,scheme_name
2008-05-29,20.8375,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-28,20.943,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-27,20.8927,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-26,21.0813,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-23,21.3965,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-22,21.5644,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-21,21.7732,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-20,21.6037,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-16,21.4278,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-15,21.3033,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-14,21.1057,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-13,21.1607,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-12,21.2012,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-09,21.2186,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-08,21.6057,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-07,21.5724,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-06,21.6985,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-05,21.7845,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-05-02,21.7705,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-30,21.602,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-29,21.7181,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-28,21.5197,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-25,21.4789,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-24,21.393,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-23,21.5631,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-22,21.5573,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-21,21.5435,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-17,21.1009,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-16,20.847,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-15,20.6582,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-11,20.4719,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-10,20.3648,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-09,20.2634,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-08,19.9543,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-07,19.7973,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-04,19.4621,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-03,19.7702,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-02,20.0425,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-04-01,19.9647,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-03-31,20.0355,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-03-28,20.374,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-03-27,19.6398,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-03-26,19.7752,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-03-25,19.6561,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-03-24,18.601,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-03-19,19.1778,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-03-18,19.2053,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-03-17,19.4797,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-03-14,20.6794,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-03-13,20.2482,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-03-12,21.3356,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-03-11,21.5287,103152,Standard Chartered Premier Equity Fund-Plan-Growth
2008-03-10,20.6425,103152,Standard Chartered Premier Equity Fund-Plan-Growth
