date,nav,scheme_code,scheme_name
2026-04-06,383.66,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-04-02,380.0,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-04-01,380.12,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-31,375.05,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-30,375.05,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-27,381.43,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-25,387.16,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-24,381.76,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-23,376.7,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-20,384.74,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-19,383.31,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-18,391.65,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-17,388.91,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-16,386.79,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-13,385.44,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-12,391.53,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-11,393.59,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-10,396.79,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-09,393.26,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-06,398.48,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-05,401.16,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-04,397.03,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-03-02,402.41,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-27,407.04,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-26,410.64,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-25,410.2,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-24,408.59,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-23,410.61,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-20,409.05,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-19,407.45,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-18,411.62,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-17,410.84,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-16,409.72,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-13,408.07,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-12,412.13,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-11,413.72,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-10,412.89,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-09,411.25,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-06,409.51,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-05,409.36,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-04,410.31,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-03,408.17,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-02-02,400.62,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-30,403.08,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-29,403.35,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-28,402.82,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-27,399.73,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-23,397.9,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-22,401.36,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-21,399.45,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-20,400.3,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-19,405.49,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-16,407.21,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-14,407.72,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-13,407.83,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-12,408.14,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-09,407.21,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-08,410.12,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-07,414.08,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-06,413.78,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-05,413.91,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-02,414.8,100356,ICICI Prudential Equity & Debt Fund - Growth
2026-01-01,411.66,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-31,411.08,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-30,408.16,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-29,408.66,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-26,409.59,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-24,410.45,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-23,411.4,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-22,411.51,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-19,409.46,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-18,407.14,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-17,407.96,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-16,408.57,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-15,410.49,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-12,410.41,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-11,408.47,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-10,406.95,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-09,408.2,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-08,408.82,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-05,412.24,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-04,411.45,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-03,411.37,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-02,412.17,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-12-01,412.86,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-28,412.02,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-27,412.28,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-26,412.33,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-25,408.57,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-24,408.94,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-21,410.46,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-20,411.92,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-19,410.83,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-18,409.6,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-17,410.14,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-14,408.73,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-13,408.71,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-12,408.61,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-11,406.91,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-10,405.37,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-07,404.56,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-06,404.63,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-04,406.08,100356,ICICI Prudential Equity & Debt Fund - Growth
2025-11-03,408.0,100356,ICICI Prudential Equity & Debt Fund - Growth
