date,nav,scheme_code,scheme_name
2016-03-02,13.4178,102195,DWS Equity Income Fund - Annual Dividend option
2016-03-01,13.3582,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-29,13.2691,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-26,13.2826,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-25,13.2689,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-24,13.2868,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-23,13.3262,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-22,13.3478,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-19,13.342,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-18,13.3626,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-17,13.3188,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-16,13.3196,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-15,13.334,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-12,13.2864,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-11,13.2747,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-10,13.3258,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-09,13.3438,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-08,13.3883,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-05,13.4037,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-04,13.4106,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-03,13.405,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-02,13.4192,102195,DWS Equity Income Fund - Annual Dividend option
2016-02-01,13.444,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-29,13.4282,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-28,13.3764,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-27,13.3844,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-25,13.374,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-22,13.3549,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-21,13.2999,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-20,13.336,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-19,13.3808,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-18,13.3606,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-15,13.3946,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-14,13.4201,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-13,13.4348,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-12,13.4197,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-11,13.439,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-08,13.4606,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-07,13.4502,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-06,13.5115,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-05,13.5013,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-04,13.5034,102195,DWS Equity Income Fund - Annual Dividend option
2016-01-01,13.537,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-31,13.5452,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-30,13.5106,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-29,13.5107,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-28,13.5206,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-24,13.4864,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-23,13.4925,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-22,13.466,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-21,13.467,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-18,13.445,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-17,13.4841,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-16,13.4581,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-15,13.4501,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-14,13.4142,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-11,13.3898,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-10,13.3966,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-09,13.3765,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-08,13.4016,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-07,13.4059,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-04,13.3941,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-03,13.4209,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-02,13.4214,102195,DWS Equity Income Fund - Annual Dividend option
2015-12-01,13.4117,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-30,13.3942,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-27,13.416,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-26,13.4036,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-24,13.3955,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-23,13.4095,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-20,13.4081,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-19,13.3814,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-18,13.3451,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-17,13.3681,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-16,13.3519,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-13,13.3786,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-10,13.4006,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-09,13.4105,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-06,13.3879,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-05,13.3659,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-04,13.4051,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-03,13.4175,102195,DWS Equity Income Fund - Annual Dividend option
2015-11-02,13.4013,102195,DWS Equity Income Fund - Annual Dividend option
2015-10-30,13.3954,102195,DWS Equity Income Fund - Annual Dividend option
2015-10-29,13.3781,102195,DWS Equity Income Fund - Annual Dividend option
2015-10-28,13.397,102195,DWS Equity Income Fund - Annual Dividend option
2015-10-27,13.3832,102195,DWS Equity Income Fund - Annual Dividend option
2015-10-26,13.362,102195,DWS Equity Income Fund - Annual Dividend option
2015-10-23,13.3585,102195,DWS Equity Income Fund - Annual Dividend option
2015-10-21,13.3679,102195,DWS Equity Income Fund - Annual Dividend option
